FCLT_NM,RONA_DADDR
보성강,"전라남도 보성군 겸백면 보성강로  737 , 146-2  "
구암천,
산북저수지,
범바우산,강원도 영월군 북면 밤재로  2-1   
취락지구,
대가리천,충청북도 단양군 매포읍 평동1로  13    
매포천,
응천,
소여천,
보청천,충청북도 보은군 보은읍 뱃들로  37   ()
오덕천,충청북도 보은군 삼승면 원남로1길  31-1   
고산천,
삼방동 지구,강원도 태백시  머리골길  153   (철암동)
흰두리지구,강원도 태백시  휜두리길  16   (동점동)
저류조 1개소,
갈사지구, [지점번호:라라26486168]
하동읍, [지점번호:라라22997607]
노량지구,경상남도 하동군 금남면 노량해안길  223    
추동지구, [지점번호:라라35578518]
관곡지구, [지점번호:라라36997158]
신촌,경상남도 하동군 북천면 경서대로  2427-8   
악양천, [지점번호:라라18118123]
고전천, [지점번호:라라29087395]
주교천, [지점번호:라라27356680]
월산백운자연재해위험개선지구,
용촌잠수, [지점번호:라아92822625]
어천,강원도 고성군 간성읍 광평길  179-5   
배수펌프장,
나진지구,
붕괴시설,금다정 뒷편 일원
붕괴시설,
제방,
금붕천, [지점번호:다마44052894]
취락지구,경상남도 거제시 일운면 예구1길  1    
"축제,호안, 저류지", [지점번호:라사79272874]
국유림, [지점번호:라사82462994]
주택및사면옹벽,강원도 평창군 진부면 사남산안길  25-1   
창리천, [지점번호:라사91302378]
반여침수위험지구,
온천천,
장림동 침수위험지구,"부산광역시 사하구  장림번영로  53   (장림동, 나산리버빌)"
괴정동 침수위험지구,부산광역시 사하구  괴정로  234   (괴정동)
감천동 침수위험지구,부산광역시 사하구  원양로356번길  6   (감천동)
하단동 침수위험지구,부산광역시 사하구  낙동남로  1349   (하단동)
군도14호선 급경사지, [지점번호:라사02878268]
지방도 391호선(이화-금대), [지점번호:라사03537432]
주문지구, [지점번호:마사16339025]
교항지구, 
성남지구,강원도 강릉시  금성로  21   (성남동)
남산지구, [지점번호:마사22667283]
노암지구,강원도 강릉시  율곡로  2701   (노암동)
뒷불지구,강원도 강릉시 사천면 진리해변길  111-1   
가작지구,강원도 강릉시  명륜로  37-5  (교동)
소돌지구, [지점번호:마사16849041]
낙풍지구, 
광안리 상습침수지,
수영 망미 상습침수지,부산광역시 수영구  수영로741번길  107   (수영동)
광안4동 성환파크뒤 절개지 붕괴위험지, [지점번호:마라46318568]
광안1동 자석사옆 절개지 붕괴위험지, [지점번호:마라46528680]
상습 침수위험지,
대저2동 덕두.본리마을, 
농경지,부산광역시 강서구  낙동남로604번길  2-17  (녹산동)
지사천(농경지),부산광역시 강서구  가락대로  865   (범방동)
맥도강,부산광역시 강서구  맥도길265번길  130-22  (대저2동)
맥도강,부산광역시 강서구  낙동남로991번길  55-19  (명지동)
녹산동 성산2구마을,부산광역시 강서구  낙동남로682번가길  21   (녹산동)
녹산국가산업단지, 
녹산1수문,부산광역시 강서구  낙동남로  744   (녹산동)
농경지,부산광역시 강서구  식만로189번길  20   (식만동)
강동동 상덕마을, [지점번호:마라28318979]
서낙동강,부산광역시 강서구  생곡로  40   (녹산동)
향동천, [지점번호:라사80123262]
취약방재, [지점번호:라사81734160]
취약방재,
중리지구,중학교뒤~고등학교뒤
서천(팔랑지구), [지점번호:라아51512406]
서천(가오작지구),
공리천(죽리지구),
구암천,
용두암저수지,
너분동저수지,
오유저수지, 
송청리일원, [지점번호:라아44711094]
직곡천, [지점번호:라아44741217]
관암천, 
안대천, 
한새골천, [지점번호:라아42890882]
오리개천, [지점번호:라아42890882]
신장 자연재해위험지구, [지점번호:다사62090696]
"상가,주택,농경지 저지대",경기도 안성시 공도읍 기업단지로  42    
사근진 지구,강원도 강릉시  해안로604번길  16   (안현동)
교량,
붕괴시설,
토사 사면,
토사 사면,
옥천지구,강원도 춘천시  서부대성로  81-9  (옥천동)
가산교,"강원도 인제군 상남면 내린천로  3126-12, 일원  "
송계교,"강원도 인제군 상남면 내린천로  1712 , 일원  "
제방,
남북지구(사면재해), [지점번호:라아58130721]
쌍용천(취락지구),
도로,
개곡잠수교,
풍심이교,
대봉교,
초강천,충청북도 영동군 황간면 하옥포1길  17-7   
진도천,
농경지,
호안시설,
장재천,
마정천,
조양천,
황룡천,
서삼천,
박산저수지,전라남도 영광군 불갑면 방마로  300    
응봉저수지,
용강천,전라남도 화순군 도암면 상용길  17    
옹벽,
벌고천,전라남도 화순군 화순읍 은곡길  61-6   
율곡천,전라남도 화순군 동복면 밤실길  111-7   
길성천,
상습침수지구,
상습침수지구,
상습침수지역,
보룡천,
물한지구,번지 일원
호촌1,번지 일원
"황성,야정",
북소천,
평지상천,
언덕절개지, [지점번호:라아96302422]
섬강,강원도 원주시 문막읍 원문로  2670-1   
언덕 절개지,
언덕 절개지,
언덕 절개지,
언덕절개지,
시가지침수, [지점번호:라아94282242]
언덕절개지, [지점번호:라아95912419]
해안침식,강원도 속초시  속초등대길  14-4  (영랑동)
언덕절개지,
언덕절개지,강원도 속초시  중앙로187번길  18-1  (동명동)
군도3호선,강원도 평창군 평창읍 뇌운계곡로  623-4   
척천, [지점번호:라사93946526]
대화천, [지점번호:라사83445074]
덕거천, [지점번호:라사79086045]
외거문리산,강원도 평창군 진부면 오대천로  1481    
국유림, [지점번호:라사80462993]
저지대 주택이주,강원도 평창군 평창읍 하촌길  62-14   
저지대 주택 및 도로, [지점번호:라사90422911]
주택 및 사면옹벽, [지점번호:라사92715992]
피암터널 및 사면옹벽,강원도 평창군 진부면 장전길  2    
제방 및 교량, [지점번호:마사05966446]
운봉,
석기네,전라남도 나주시 운곡동 1-9
안창1,
성곡1지구,"전라남도 담양군 대덕면 성곡길  39 , 16번지 일원  "
배수로,
배수로,
도로,전라남도 완도군 청산면 청산로  29    
도로,소안비서
가교,"전라남도 완도군 고금면 가교68번길  13 , 가교리 853-9  "
도로,"전라남도 완도군 금일읍 금일로  365-1, 화목리991-1  "
도로,
도로,"전라남도 완도군 완도읍 청해진로1353번길  39 , 장좌리 143-6  "
도로,
해안도로,"전라남도 완도군 소안면 구도길  1-20, 횡간리 산264-5  "
소하천,"전라남도 완도군 금당면 금당로321번길  100-102, 육산리 1188  "
소하천,"전라남도 완도군 청산면 청산로  962 , 국산리 273  "
장좌 펌프장,
급경사지지구,전라남도 강진군 강진읍 보은로3길  79-8   
완택산, [지점번호:라사88991052]
하아재해위험지구, [지점번호:라바95103978]
주택,경상북도 안동시 예안면 기사호반길  478-252   
대저1동,
경사지,경상남도 진주시  남강로  722   (옥봉동)
오십천, 
오십천, [지점번호:마사49453762]
오십천, [지점번호:마사45483896]
우지천,강원도 삼척시  새천년도로  531   (교동)
상습침수, [지점번호:마사48873917]
건물보상, [지점번호:마사36781433]
소하천, 
비탈면,강원도 정선군 사북읍 사북6길  33    
붕괴위험,강원도 정선군 고한읍 고한9길  38    
삼락지구,
남선신석,신석리 466-2
"덕골, 충평, 무고 소하천",
해남천,
대연지구 자연재해위험개선지구,
신계지구,
구룡천,
부여 시가지,
함양소하천,
장벌천,
은탄 자연재해위험개선지구,
후암지구,
상습침수,강원도 정선군 북평면 북평강변로  73    
지방2급,강원도 정선군 북평면 북평강변로  5    
비탈면,강원도 정선군 고한읍 고한9길  92-5   
비탈면,
비탈면, [지점번호:마사06192460]
비탈면, [지점번호:마사19971268]
비탈면, [지점번호:마사19711251]
비탈면,강원도 정선군 정선읍 동곡길  313    
하천,강원도 정선군 고한읍 고한6길  25    
비탈면,강원도 정선군 고한읍 고한3길  86-18   
하천(교량), 
주거지역,
주거지역, [지점번호:라사70789300]
거모 빗물 펌프장, [지점번호:다사35652728]
방산 빗물펌프장, [지점번호:다사36173725]
포동 빗물펌프장,경기도 시흥시  신현로  157   (포동)
운양향산지구, 
포내지구, [지점번호:다사15656979]
봉성지구, 
천현지구, [지점번호:다사29846112]
금암지구,
이조천,
지평천,
설피골1교,
우각1교,
수교,
내가평교,
강문지구,강원도 강릉시  창해로350번길  5   (강문동)
포남지구,강원도 강릉시  강변북길  145   (포남동)
영진지구,강원도 강릉시 연곡면 해안로  1431    
우암지구,강원도 강릉시 주문진읍 해안로  1989    
안목지구,강원도 강릉시  창해로14번길  20-1  (견소동)
금진지구,"강원도 강릉시 옥계면 금진안길  40-2, 금진마을회관 일원  "
산사태, [지점번호:마사49013946]
오십천, 
오십천, [지점번호:마사48753806]
오봉산,강원도 삼척시 도계읍 도상로  76-37   
건물보상, [지점번호:마사47793925]
건물보상, 
사방,"강원도 삼척시 도계읍 흥전길  126-4, 번지 일원  "
옹벽 및 건물보상, [지점번호:마사49073914]
사방시설, [지점번호:마사61291461]
오십천, [지점번호:마사47593878]
오십천, [지점번호:마사47573901]
오십천,강원도 삼척시  엑스포로  17   (남양동)
